FID,IID,y
1000023,1000023,-0.729864722359076
1000030,1000030,1.24694870297463
1000059,1000059,-0.615813599160596
1000062,1000062,-0.745160942609168
1000095,1000095,0.0567972279657744
1000100,1000100,0.682770920290706
1000146,1000146,-1.08410683678064
1000181,1000181,0.412579856969176
1000215,1000215,-1.11300400285744
1000229,1000229,-0.376188753314149
1000231,1000231,-0.213226680253358
1000250,1000250,0.0753322134867904
1000264,1000264,0.108823834868635
1000309,1000309,-0.931421623187464
1000336,1000336,-0.912965280438499
1000363,1000363,-1.22776555088005
1000374,1000374,-0.0878432065999966
1000391,1000391,1.34208244211206
1000410,1000410,1.09402512454946
1000434,1000434,0.0290488515450232
1000442,1000442,0.779886603952292
1000478,1000478,1.03068627258129
1000499,1000499,0.829329838984644
1000503,1000503,0.127047257233893
1000511,1000511,1.05860404762054
1000528,1000528,-0.302564779801542
1000556,1000556,-0.139198780056099
1000572,1000572,-1.08610969721152
1000589,1000589,0.983156114360167
1000590,1000590,-0.568940208913867
1000616,1000616,-0.450381484840341
1000620,1000620,0.539715124351325
1000637,1000637,2.17343423818456
1000651,1000651,-0.668978059365707
1000665,1000665,-0.584633696617046
1000679,1000679,-1.05949843765494
1000698,1000698,-1.25962128248202
1000706,1000706,0.431846488559636
1000712,1000712,-0.346053269470669
1000753,1000753,1.6262594282647
1000768,1000768,0.554627184964713
1000794,1000794,-0.632715286160634
1000805,1000805,-0.693593015771079
1000818,1000818,-0.405787576996501
1000821,1000821,0.487074554255017
1000849,1000849,0.949896953961322
1000857,1000857,1.25933269321884
1000892,1000892,1.35139791726245
1000901,1000901,-1.79143557205243
1000932,1000932,-0.812478168253859
1000954,1000954,0.637811625779208
1000976,1000976,-0.143846288462592
1001012,1001012,-1.74612008743445
1001040,1001040,0.879399683061982
1001053,1001053,1.04193323814455
1001068,1001068,0.956365220028015
1001094,1001094,-1.36360777355922
1001117,1001117,-0.0416119036062942
1001145,1001145,0.552941260408823
1001158,1001158,0.153053615841935
1001174,1001174,-0.983926952207045
1001180,1001180,-0.694693680500484
1001223,1001223,-1.19912760444748
1001230,1001230,0.503933469360421
1001262,1001262,0.479203172488112
1001295,1001295,0.136749919499579
1001311,1001311,0.152238975116959
1001328,1001328,-0.857752111473418
1001335,1001335,-0.912191606708025
1001344,1001344,1.02521499515584
1001367,1001367,0.441627009086231
1001372,1001372,0.412202331376883
1001390,1001390,0.525960020273792
1001419,1001419,1.111140468546
1001425,1001425,1.12494136184645
1001448,1001448,-0.325772257398289
